Code département,Département,Code canton,Canton,Inscrits,Abstentions,Votants,taux de participation (%),Blancs et nuls,Exprimés,Sexe 01,Nom 01,Prenom 01,Nuance 01,Voix 01,Sexe 02,Nom 02,Prenom 02,Nuance 02,Voix 02,Sexe 03,Nom 03,Prenom 03,Nuance 03,Voix 03,Sexe 04,Nom 04,Prenom 04,Nuance 04,Voix 04,Sexe 05,Nom 05,Prenom 05,Nuance 05,Voix 05,Sexe 06,Nom 06,Prenom 06,Nuance 06,Voix 06,Sexe 07,Nom 07,Prenom 07,Nuance 07,Voix 07,Sexe 08,Nom 08,Prenom 08,Nuance 08,Voix 08,Sexe 09,Nom 09,Prenom 09,Nuance 09,Voix 09,Sexe 10,Nom 10,Prenom 10,Nuance 10,Voix 10,Sexe 11,Nom 11,Prenom 11,Nuance 11,Voix 11
3,ALLIER,11,GANNAT,7399,2195,5204,"70,33",205,4999,F,DEFAY,Anne Marie,DVD,2210,M,DEVOUCOUX,Bernard,SOC,1346,F,LANARET,Lysiane,COM,457,M,DURANT,Michel,VEC,418,M,GOULEFERT,Jean-Paul,DVG,341,M,BAUDRILLER,Jean-Louis,FN,227,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,13,HURIEL,6078,1441,4637,"76,29",214,4423,M,TABUTIN,Michel,COM,2174,M,BOURDUT,Claude,SOC,1188,M,LEGOUTIERE,Pierre-Antoine,UDFD,1061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,15,LAPALISSE,7256,1788,5468,"75,36",207,5261,M,HANGARD,Didier,DVD,1973,M,DE CHABANNES,Jacques,RDG,1484,M,DAJOUX,Georges,DVG,1255,M,PETETOT,Raymond,COM,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,16,LURCY-LEVIS,3832,812,3020,"78,81",129,2891,M,BOURDIER,Jacques,DVD,1292,M,THOLLET,Nicolas,COM,844,M,MOSNIER,Jean-Luc,SOC,755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,20,MONTLUCON-EST,11152,3514,7638,"68,49",276,7362,M,DUGLERY,Daniel,UMP,3562,M,LESTERLIN,Bernard,SOC,1879,M,DUBUISSON,Lucien,COM,1708,M,BOUGEROL,Bernard,EXG,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,22,MONTMARAULT,6064,1417,4647,"76,63",172,4475,M,ROJOUAN,Bruno,DVD,2592,F,SOMMEILLER,Liliane,COM,1100,M,CONFESSON,Gérard,SOC,783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,23,MOULINS-SUD,10205,4148,6057,"59,35",257,5800,F,TABUTIN,Nicole,DVD,2765,M,LAHAYE,Jacques,SOC,2101,M,ALONSO,José,COM,934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,25,NEUILLY-LE-REAL,3911,994,2917,"74,58",112,2805,M,GONNOT,Lucien,DVD,1449,M,LAROCHE,Jean-Michel,SOC,840,M,VENUAT,Jean,COM,367,M,MATICHARD,Gérard,VEC,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,26,SAINT-POURCAIN-SUR-SIOULE,8309,2207,6102,"73,44",172,5930,M,COULON,Bernard,DVD,3629,F,GAMBA,Muriel,SOC,1344,M,CHEGUT,Gérard,COM,957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,28,VARENNES-SUR-ALLIER,10901,2927,7974,"73,15",278,7696,F,ALBERT-CUISSET,Elisabeth,DVD,3440,M,CADORET,Xavier,SOC,2057,M,CONSTANT,Jean-Pierre,RDG,818,F,LAVEDRINE,Jeannine,COM,726,M,BERTRAND,Michel,FN,330,M,HERNANDEZ,Jean-Claude,VEC,325,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,29,VICHY-NORD,9367,3661,5706,"60,92",194,5512,M,MAQUIN,Gabriel,UMP,2354,M,POMMERAY,Christophe,RDG,823,F,MILLET,Hélène,SOC,788,M,RONDEPIERRE,Daniel,VEC,473,M,DE CONDE,Louis,FN,411,M,CARCASSIN,Jean-Marc,DVD,384,M,BEAU,Michel,COM,279,,,,,,,,,,,,,,,,,,,,
3,ALLIER,31,MONTLUCON-NORD-EST,7463,2417,5046,"67,61",277,4769,M,DILLARD,Bernard,DVD,2012,F,BRUNY,Isabelle,SOC,1132,M,BOURDUGE,Luc,COM,1024,M,CASILLA,René,EXG,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,32,MONTLUCON-SUD,12388,3657,8731,"70,48",420,8311,F,VERGNE,Bernadette,DVD,3653,F,SCHURCH,Mireille,COM,2384,M,KOTT,Frédéric,SOC,2001,M,APOLLONIO,Patrick,EXG,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ALPES DE HAUTE PROVENCE,7,ALLOS-COLMARS,2037,363,1674,"82,18",54,1620,M,LEBEAUPIN,Guy,DVG,764,M,KINTS,Jean,UMP,717,M,BATUT,Alain,COM,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ALPES DE HAUTE PROVENCE,8,DIGNE-EST,6803,2171,4632,"68,09",189,4443,M,MASSETTE,René,SOC,1648,M,BREMOND,Christian,UMP,1194,F,CHARRIAU,Colette,VEC,626,F,HENNEGRAVE,Jacqueline,COM,488,M,SANTIAGO,Frédéric,UDFD,252,M,BERGES,Victor,FN,235,,,,,,,,,,,,,,,,,,,,,,,,,
4,ALPES DE HAUTE PROVENCE,9,ENTREVAUX,1260,142,1118,"88,73",31,1087,M,LAURENT,Gilbert,DVD,559,M,BRUN,Gilbert,DVG,493,M,LEMAIRE,Gilles,COM,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ALPES DE HAUTE PROVENCE,12,LE-LAUZET-UBAYE,1213,191,1022,"84,25",37,985,M,MICHEL,Jean-Claude,SOC,709,M,MASSE,Roger,UMP,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ALPES DE HAUTE PROVENCE,14,LES MEES,7853,2043,5810,"73,98",260,5550,M,SARDELLA,Serge,DVD,2727,F,JOSELET,Joëlle,DVG,1196,M,PAUL,Gérard,COM,1169,M,D'ORNANO,Michel,FN,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ALPES DE HAUTE PROVENCE,16,LA MOTTE-DU-CAIRE,2048,233,1815,"88,62",87,1728,M,CLEMENT,Marcel,SOC,1139,M,EULOGE,Gérard,DVD,361,M,MAÏA,Christian,COM,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ALPES DE HAUTE PROVENCE,17,MOUSTIERS-SAINTE-MARIE,1026,207,819,"79,82",44,775,F,BIZOT-GASTALDI,Michèle,COM,438,M,SINGLE,Fred,SOC,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ALPES DE HAUTE PROVENCE,19,PEYRUIS,2878,649,2229,"77,45",75,2154,M,DE MEESTER,Gérard,DVD,645,M,GALIZI,Francis,UMP,568,F,BOUNAT,Paule,DVG,502,M,ROCHAT,Jacques,DVD,239,F,HERNANDEZ,Aurore,COM,106,M,ROBERT,Philippe,EXD,94,,,,,,,,,,,,,,,,,,,,,,,,,
4,ALPES DE HAUTE PROVENCE,23,SAINT-ETIENNE-LES-ORGUES,2474,490,1984,"80,19",249,1735,M,MOROSO,Félix,DVG,1735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ALPES DE HAUTE PROVENCE,26,SEYNE,2502,372,2130,"85,13",45,2085,M,REY,Michel,DVG,1146,M,SAVORNIN,Henri,UMP,939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ALPES DE HAUTE PROVENCE,27,SISTERON,6609,1525,5084,"76,93",167,4917,M,BREMOND,Claude,UMP,2411,M,PERARD,Franck,SOC,1680,M,MERIC,Jean-Bruno,VEC,385,M,SFRECOLA,Alain,COM,259,M,CRETE,Cedric,UDFD,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ALPES DE HAUTE PROVENCE,28,TURRIERS,1034,113,921,"89,07",24,897,M,AGUILLON,Elie,DVD,341,M,EMANUELY,Philippe,UMP,273,M,ZUNINO,Robert,DVG,207,M,TERMEULEN,Morgan,COM,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ALPES DE HAUTE PROVENCE,31,DIGNE-OUEST,9273,2479,6794,"73,27",311,6483,M,BIANCO,Jean-Louis,SOC,2467,F,BEAUMEYER,Brigitte,UMP,1250,M,BERROD,Philippe,VEC,1045,M,ESMIOL,Gérard,COM,909,F,JOUZIER-BERGES,Mireille,FN,382,M,GROOTAERS,Ronald,UDFD,282,M,BUHOT,Jean-Michel,EXG,148,,,,,,,,,,,,,,,,,,,,
4,ALPES DE HAUTE PROVENCE,33,MANOSQUE-SUD-OUEST,8962,3188,5774,"64,43",199,5575,M,VELIN,Gérard,DVD,1403,M,BRES,Jacques,UMP,1388,F,CHAUMONT,Sylviane,DVG,1231,F,CARRIOL,Martine,COM,839,F,D'ORNANO,Mireille,FN,383,F,VERSCHUEREN,Isabelle,UDFD,331,,,,,,,,,,,,,,,,,,,,,,,,,
5,HAUTES ALPES,3,ASPRES-SUR-BUECH,1803,239,1564,"86,74",48,1516,M,LOMBARD,Jean-Luc,DVD,440,M,GAST,Jean-Claude,EXG,260,F,FAGES,Elisabeth,DVG,251,M,DUMANOIS,Jean-François,SOC,250,M,REYNAUD,Michel,DVD,202,M,FRANCOU,Jacques,DVD,113,,,,,,,,,,,,,,,,,,,,,,,,,
5,HAUTES ALPES,4,BARCILLONNETTE,312,46,266,"85,26",8,258,M,COSTORIER,Rémi,DVD,178,M,PIUSSI,Gilbert,COM,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
