,Régions,Excédent brut et revenu mixte,Salaires et traitements bruts,Cotisations sociales des salariés et des non-salariés,Impôts               ,Prestations en espèces,Autres (1),Revenu disponible brut,year
290,France métropolitaine hors Ile-de-France,4163.0,11419.0,2065.0,2852.0,7315.0,1519.0,19499.0,2014
291,DOM,3750.0,8287.0,942.0,905.0,3838.0,523.0,14551.0,2014
292,Guadeloupe,3587.0,9404.0,947.0,1300.0,4018.0,443.0,15205.0,2014
293,Martinique,4096.0,10215.0,1324.0,1412.0,4088.0,1019.0,16682.0,2014
294,Guyane,2468.0,7202.0,1461.0,884.0,2564.0,633.0,10522.0,2014
295,La Réunion,4517.0,8334.0,822.0,709.0,4875.0,439.0,16634.0,2014
296,Mayotte,2012.0,4052.0,141.0,102.0,625.0,13.0,6459.0,2014
297,Hors territoire,,,,,,,,2014
298,France (France métropolitaine+DOM+Hors territoire) ,4379.0,12558.0,2241.0,3208.0,7077.0,1626.0,20191.0,2014
299,Auvergne-Rhône-Alpes,4534.0,12690.0,2256.0,3088.0,7231.0,1553.0,20664.0,2015
300,Bourgogne-Franche-Comté,4461.0,11112.0,1979.0,2754.0,7933.0,1421.0,20194.0,2015
301,Bretagne,4481.0,11080.0,2050.0,2738.0,7505.0,1471.0,19749.0,2015
302,Centre-Val de Loire,4120.0,11794.0,2084.0,2874.0,7757.0,1486.0,20199.0,2015
303,Corse,5138.0,10406.0,2008.0,2944.0,6468.0,1772.0,18832.0,2015
304,Grand Est,3844.0,12021.0,2067.0,2923.0,7105.0,1358.0,19338.0,2015
305,Hauts-de-France,3184.0,11230.0,1879.0,2627.0,6681.0,1205.0,17794.0,2015
306,Ile-de-France,5502.0,18336.0,3257.0,5235.0,6651.0,2193.0,24190.0,2015
307,Normandie,3918.0,11377.0,1969.0,2712.0,7660.0,1424.0,19698.0,2015
308,Nouvelle-Aquitaine,4620.0,10820.0,2120.0,2799.0,7778.0,1487.0,19786.0,2015
309,Occitanie,4382.0,10728.0,2066.0,2768.0,7409.0,1409.0,19094.0,2015
310,Pays de la Loire,3875.0,11692.0,2114.0,2720.0,7414.0,1337.0,19484.0,2015
311,Provence-Alpes-Côte d'Azur,4853.0,11834.0,2248.0,3466.0,7617.0,1780.0,20370.0,2015
312,France métropolitaine,4460.0,12817.0,2308.0,3326.0,7251.0,1591.0,20485.0,2015
313,France métropolitaine hors Ile-de-France,4219.0,11540.0,2089.0,2884.0,7390.0,1452.0,19628.0,2015
314,DOM,3902.0,8438.0,958.0,925.0,3900.0,535.0,14892.0,2015
315,Guadeloupe,3878.0,9608.0,960.0,1341.0,4097.0,415.0,15697.0,2015
316,Martinique,4352.0,10313.0,1380.0,1453.0,4170.0,1163.0,17165.0,2015
317,Guyane,2538.0,7275.0,1445.0,889.0,2564.0,546.0,10589.0,2015
318,La Réunion,4626.0,8537.0,842.0,726.0,4993.0,448.0,17036.0,2015
319,Mayotte,2085.0,4299.0,136.0,116.0,602.0,13.0,6747.0,2015
320,Hors territoire,,,,,,,,2015
321,France (France métropolitaine+DOM+Hors territoire) ,4442.0,12692.0,2267.0,3249.0,7148.0,1557.0,20323.0,2015
